task_id,estimated_work_hours,estimated_elapsed_hours,external_lead_time_hours,planning_state,planning_blocker_code_or_null,earliest_start_utc,due_at_utc,schedule_owner_role,required_participant_role_ids,required_participant_actor_ids,participant_availability_manifest_digest,participant_max_concurrent_tasks_by_actor,review_lead_time_hours,provider_or_hiring_lead_time_hours,budget_currency,estimated_cost_entries_by_domain,estimate_basis_digest,approved_at_utc
PREV7-0010,,,0,complete,,,,source_app_manager,"[""source_app_manager""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,0,USD,"{""github_actions"":{""maximum_incremental_net_spend_usd"":0,""owner_authorized"":true}}",sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,2026-07-30T16:00:00.000040Z
PREV7-0011,,,0,complete,,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,0,USD,"{""github_actions"":{""maximum_incremental_net_spend_usd"":0,""owner_authorized"":true}}",sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,2026-07-30T16:00:00.000091Z
PREV7-0012,,,0,complete,,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,0,USD,"{""github_actions"":{""maximum_incremental_net_spend_usd"":0,""owner_authorized"":true}}",sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,2026-07-30T16:00:00.000088Z
PREV7-0101,,,0,complete,,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,0,USD,"{""github_actions"":{""maximum_incremental_net_spend_usd"":0,""owner_authorized"":true}}",sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,2026-07-30T18:00:00.000008Z
PREV7-0102,,,0,complete,,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,0,USD,"{""github_actions"":{""maximum_incremental_net_spend_usd"":0,""owner_authorized"":true}}",sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,2026-07-30T18:00:00.000016Z
PREV7-0103,,,0,complete,,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,0,USD,"{""github_actions"":{""maximum_incremental_net_spend_usd"":0,""owner_authorized"":true}}",sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,2026-07-30T18:00:00.000024Z
PREV7-0201,,,0,complete,,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,0,USD,"{""github_actions"":{""maximum_incremental_net_spend_usd"":0,""owner_authorized"":true}}",sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,2026-07-30T18:30:00.000008Z
PREV7-0202,,,0,complete,,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,0,USD,"{""github_actions"":{""maximum_incremental_net_spend_usd"":0,""owner_authorized"":true}}",sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,2026-07-30T22:30:00.000008Z
PREV7-0203,,,0,complete,,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,0,USD,"{""github_actions"":{""maximum_incremental_net_spend_usd"":0,""owner_authorized"":true}}",sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,2026-07-31T14:37:36.000008Z
PREV7-0204,,,0,complete,,,,source_app_manager,"[""source_app_manager""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,0,USD,"{""github_actions"":{""maximum_incremental_net_spend_usd"":0,""owner_authorized"":true}}",sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,2026-07-31T14:00:00.000008Z
PREV7-0205,,,0,complete,,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,0,USD,"{""github_actions"":{""maximum_incremental_net_spend_usd"":0,""owner_authorized"":true}}",sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,2026-07-30T22:30:00.000016Z
PREV7-0206,,,0,complete,,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,0,USD,"{""github_actions"":{""maximum_incremental_net_spend_usd"":0,""owner_authorized"":true}}",sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,2026-07-30T22:30:00.000024Z
PREV7-0207,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0208,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0209,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0210,,,0,complete,,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,0,USD,"{""github_actions"":{""maximum_incremental_net_spend_usd"":0,""owner_authorized"":true}}",sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,2026-07-31T14:00:00.000016Z
PREV7-0301,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0302,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0303,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0304,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0305,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0306,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0307,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0308,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,independent_disaster_copy_owner,"[""independent_disaster_copy_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0309,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0310,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,independent_disaster_copy_owner,"[""independent_disaster_copy_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0400,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0401,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0402,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0403,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0404,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0405,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0406,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0407,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0501,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0502,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0503,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,scientific_reviewer,"[""scientific_reviewer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0504,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0505,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0506,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0507,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0508,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0509,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,workflow_reviewer,"[""workflow_reviewer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0601,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0602,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0603,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0604,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0605,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0606,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0607,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0608,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0609,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0610,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,source_deadman_operator,"[""source_deadman_operator""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0611,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,destination_deadman_operator,"[""destination_deadman_operator""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0701,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0702,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
